,prod,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,POPIS,description
124,30241,163383240.0,86994469.0,SWE,0.5324565053306569,0.12464941353519685,0.1829640297527788,"Sleďi, čerství nebo chlazení","Fish: fresh or chilled, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
125,30242,68038362.0,60512109.0,PRT,0.8893822135224243,0.19320331383239026,0.2404273405018616,"Sardele, čerství nebo chlazení","Fish: fresh or chilled, anchovies (Engraulis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
126,30243,81927209.0,69524916.0,ESP,0.8486181434546367,0.09427940456620126,0.1254888897100104,"Sardinky, sardinely, šprot obecný, čerství nebo chlazení","Fish: fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
127,30244,340206176.0,93701111.0,DNK,0.2754244855331492,0.28861663761540757,0.23189965796836398,"Makrely, čerstvé nebo chlazené","Fish: fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
128,30245,58607793.0,22657950.0,ESP,0.3866030239357418,0.15864281063782792,0.22236074977294998,"Kranasi, čerství nebo chlazení","Fish: fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
129,30246,12507193.0,316701.0,HRV,0.025321508990866295,0.7430885519667582,0.22058956861184253,"Kranasovec štíhlý, čerstvý nebo chlazený","Fish: fresh or chilled, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
130,30247,157399763.0,68170221.0,ESP,0.43310243739058235,0.1275150091541225,0.4630971581288449,"Mečoun obecný, čerstvý nebo chlazený","Fish: fresh or chilled, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
131,30249,127322836.0,24775813.0,ESP,0.1945904896431933,0.10179005688978035,0.2107580946623757,"Čerstvé nebo chlazené makrelovky rodu Rastrelliger (Rastrelliger spp.), makrelovci (Scomberomorus spp.), kranasi rodu Ca","Fish: fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
132,30251,685804628.0,310194856.0,DNK,0.45230790714349045,0.24617862029004162,0.25909594178500905,"Tresky (Gadus morhua, ogac, macrocephalus), čerstvé nebo chlazené","Fish: fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
133,30252,104666167.0,45110409.0,DNK,0.43099322630205805,0.23249058598984212,0.4419429247805055,"Treska jednoskvrnná, čerstvá nebo chlazená","Fish: fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
134,30253,140324700.0,73325452.0,DNK,0.5225413059853325,0.2050169784415686,0.2215119622144754,"Treska tmavá, čerstvá nebo chlazená","Fish: fresh or chilled, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
135,30254,168331933.0,89770435.0,ESP,0.5332941492449921,0.09490145421676559,0.21862511907738333,"Štikozubci, čerství nebo chlazení","Fish: fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
136,30255,11023993.0,6071985.0,DEU,0.5507972474220548,0.32007166455889136,0.6449442300435189,"Treska pestrá (Theragra chalcogramma), čerstvá nebo chlazená","Fish: fresh or chilled, Alaska pollock (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
137,30256,69862300.0,28061762.0,DNK,0.4016724613990664,0.1674027795096973,0.3828934997830809,"Treska modravá, čerstvá nebo chlazená","Fish: fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
138,30259,150227343.0,69610674.0,DNK,0.46336886887495576,0.08150777605954222,0.13184560417824062,"Tresky mořské ostatní,čerstvé,chlazené","Fish: fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
139,30271,58862104.0,13116072.0,FRA,0.22282710111755435,0.18889446221654957,0.2963226180349015,"Tilápie, čerstvé nebo chlazené","Fish: fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
140,30272,28726454.0,2635211.0,NLD,0.09173464291833583,0.44233468738542214,0.13216102475727917,"Sumci, čerství nebo chlazení","Fish: fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
141,30273,53609550.0,16945017.0,HRV,0.3160820600060997,0.12498552702866472,0.14243788975076072,"Čerství nebo chlazení kaprovití (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrh","Fish: fresh or chilled, Carp (as specified by the WCO.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
142,30274,11258563.0,2863757.0,NLD,0.25436256829579407,0.28638672037019397,0.25205495549966583,"Úhoři, čerství nebo chlazení","Fish: fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
143,30279,65164308.0,29783727.0,BEL,0.45705583185200094,0.12653104541606203,0.19305701535563174,"Robalo nilský, hadohlavci, čerství nebo chlazení","Fish: fresh or chilled, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
