HS_ID,Skupina,Podskupina,Kategorie_vyrobku,Zdroj,Included,CAGR_2022_30_ANALYSIS,IS_REALCAGR,CAGR_2022_30_FORECAST
870290,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
870390,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
730890,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
860210,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
761090,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
680610,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
830630,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
853090,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
840999,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
853939,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
761100,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
732190,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
392510,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
840991,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
853921,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
681011,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
860800,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
851629,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
841990,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
871639,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
320910,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
940510,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
850220,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
853080,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
320990,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
940540,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
847989,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
841280,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
450490,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
732113,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
732111,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
220710,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
